ticket_id,customer_id,order_id,data_abertura,data_fechamento,canal_entrada,categoria_problema,status_atendimento,texto_cliente,nota_csat,tempo_primeira_resposta_minutos,custo_operacional_ticket
TKT-000001,CLI-01729,ORD-011396,2024-03-01 15:15:14,2024-03-05 06:15:14,ChatBot,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,1.0,1.0,2.0
TKT-000002,CLI-11830,ORD-000852,2025-11-24 13:45:41,2025-11-25 18:45:41,E-mail,Onde está meu pedido?,Resolvido,Meu rastreio não atualiza desde terça. Alguém me ajuda?,2.0,419.0,15.0
TKT-000003,CLI-09211,ORD-060218,2025-03-22 09:24:06,2025-03-25 15:24:06,Telefone,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,5.0,14.0,15.0
TKT-000004,CLI-05057,ORD-037931,2024-11-13 18:36:12,2025-12-31 23:59:00,WhatsApp,Defeito,Aberto,O produto chegou com defeito de fabricação.,3.0,13.0,15.0
TKT-000005,CLI-02924,ORD-009359,2023-07-05 18:10:23,2025-12-31 23:59:00,E-mail,Defeito,Em Análise,Comprei e já veio com problema. Péssima qualidade.,3.0,241.0,15.0
TKT-000006,CLI-09832,ORD-041348,2023-07-05 14:43:20,2023-07-06 20:43:20,E-mail,Onde está meu pedido?,Resolvido,"O pedido sumiu no rastreamento, preciso de uma posição urgente.",2.0,453.0,15.0
TKT-000007,CLI-01729,ORD-073580,2023-03-18 22:25:56,2023-03-20 08:25:56,Reclame Aqui,Troca de Tamanho,Resolvido,Como solicito a troca? O tamanho P está pequeno demais.,3.0,1436.0,45.0
TKT-000008,CLI-01729,ORD-055334,2025-09-01 11:32:31,2025-09-02 02:32:31,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,106.0,15.0
TKT-000009,CLI-06351,ORD-023804,2024-11-15 07:43:46,2024-11-18 04:43:46,E-mail,Elogio,Resolvido,"Produto chegou antes do prazo, adorei! Parabéns.",4.0,118.0,15.0
TKT-000010,CLI-08289,ORD-041639,2025-02-28 12:32:58,2025-03-02 03:32:58,ChatBot,Pagamento não aprovado,Resolvido,Tentei pagar três vezes e não consigo finalizar o pedido.,2.0,0.0,2.0
TKT-000011,CLI-11830,ORD-075561,2023-02-02 17:31:01,2023-02-04 09:31:01,Telefone,Elogio,Escalado para N2,"Produto chegou antes do prazo, adorei! Parabéns.",5.0,6.0,15.0
TKT-000012,CLI-09561,ORD-006474,2025-12-08 11:42:30,2025-12-11 17:42:30,ChatBot,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",4.0,1.0,2.0
TKT-000013,CLI-01729,ORD-028865,2025-07-15 21:07:15,2025-12-31 23:59:00,E-mail,Dúvida Técnica,Aberto,Como aplico o cupom de desconto?,4.0,175.0,15.0
TKT-000014,CLI-14211,ORD-068091,2023-09-21 09:32:15,2023-09-22 13:32:15,Telefone,Dúvida Técnica,Resolvido,Como adiciono um endereço diferente para entrega?,3.0,11.0,15.0
TKT-000015,CLI-11830,ORD-012900,2023-08-12 20:22:27,2023-08-16 18:22:27,E-mail,Onde está meu pedido?,Resolvido,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",2.0,270.0,15.0
TKT-000016,CLI-14211,ORD-058083,2023-08-14 21:08:27,2023-08-16 05:08:27,WhatsApp,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,4.0,4.0,15.0
TKT-000017,CLI-11830,ORD-049673,2023-12-08 14:10:26,2023-12-10 18:10:26,WhatsApp,Onde está meu pedido?,Resolvido,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,9.0,15.0
TKT-000018,CLI-01729,ORD-075915,2024-08-23 20:44:46,2025-12-31 23:59:00,ChatBot,Defeito,Em Análise,Comprei e já veio com problema. Péssima qualidade.,2.0,3.0,2.0
TKT-000019,CLI-12125,ORD-076303,2024-05-02 12:03:32,2024-05-02 21:03:32,E-mail,Elogio,Resolvido,"Embalagem linda, presente perfeito. Obrigada!",5.0,101.0,15.0
TKT-000020,CLI-04141,ORD-041181,2023-11-28 20:42:37,2023-11-30 06:42:37,E-mail,Defeito,Resolvido,A costura estava totalmente solta quando abri a embalagem.,2.0,349.0,15.0
TKT-000021,CLI-11830,ORD-049380,2024-11-22 09:00:29,2024-11-22 22:00:29,E-mail,Elogio,Escalado para N2,"Atendimento impecável, vocês são os melhores!",5.0,378.0,15.0
TKT-000022,CLI-01729,ORD-069330,2023-06-12 12:28:53,2023-06-15 19:28:53,Reclame Aqui,Troca de Tamanho,Resolvido,"Preciso trocar o tamanho M pelo G, como faço?",3.0,1232.0,45.0
TKT-000023,CLI-11830,ORD-044943,2023-11-28 15:07:56,2023-11-29 11:07:56,WhatsApp,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",5.0,3.0,15.0
TKT-000024,CLI-11830,ORD-065986,2024-02-18 08:05:40,2024-02-18 14:05:40,WhatsApp,Elogio,Resolvido,"Qualidade excelente, com certeza vou comprar novamente.",5.0,8.0,15.0
TKT-000025,CLI-11830,ORD-040405,2024-05-23 11:34:02,2024-05-24 06:34:02,E-mail,Onde está meu pedido?,Resolvido,Cadê meu produto? Já passou da data prevista.,3.0,249.0,15.0
TKT-000026,CLI-11830,ORD-026551,2025-05-18 13:43:15,2025-05-21 13:43:15,Reclame Aqui,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",4.0,330.0,45.0
TKT-000027,CLI-10455,ORD-044591,2023-09-05 12:56:26,2025-12-31 23:59:00,WhatsApp,Dúvida Técnica,Em Análise,"Não consigo acessar minha conta, esqueci a senha.",5.0,2.0,15.0
TKT-000028,CLI-11830,ORD-043026,2024-08-08 14:12:52,2024-08-09 20:12:52,Reclame Aqui,Dúvida Técnica,Resolvido,O app não carrega a página de checkout.,4.0,1062.0,45.0
TKT-000029,CLI-01729,ORD-034796,2024-11-09 19:43:53,2024-11-09 23:43:53,WhatsApp,Pagamento não aprovado,Resolvido,Meu pagamento não foi aprovado mas o valor foi debitado.,3.0,10.0,15.0
TKT-000030,CLI-11830,ORD-000222,2023-03-08 10:24:57,2025-12-31 23:59:00,WhatsApp,Defeito,Em Análise,Comprei e já veio com problema. Péssima qualidade.,3.0,11.0,15.0
TKT-000031,CLI-03910,ORD-046062,2024-11-19 13:23:27,2024-11-21 08:23:27,ChatBot,Pagamento não aprovado,Escalado para N2,O boleto venceu e não consigo gerar outro.,4.0,0.0,2.0
TKT-000032,CLI-03910,ORD-053226,2023-07-27 13:26:42,2023-07-28 12:26:42,ChatBot,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,3.0,3.0,2.0
TKT-000033,CLI-06160,ORD-069073,2023-03-24 17:29:28,2023-03-27 11:29:28,WhatsApp,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",3.0,9.0,15.0
TKT-000034,CLI-00963,ORD-062278,2025-11-23 14:43:19,2025-11-24 09:43:19,ChatBot,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,1.0,2.0
TKT-000035,CLI-12360,ORD-000727,2025-12-04 13:45:44,2025-12-05 21:45:44,E-mail,Defeito,Resolvido,O produto chegou com defeito de fabricação.,3.0,256.0,15.0
TKT-000036,CLI-10455,ORD-041607,2025-06-10 21:03:35,2025-06-11 13:03:35,Reclame Aqui,Pagamento não aprovado,Escalado para N2,"Cartão recusado sem motivo, quero entender o que aconteceu.",3.0,630.0,45.0
TKT-000037,CLI-01729,ORD-036480,2023-12-08 20:53:58,2023-12-09 17:53:58,Telefone,Dúvida Técnica,Resolvido,"Não consigo acessar minha conta, esqueci a senha.",4.0,20.0,15.0
TKT-000038,CLI-14211,ORD-070799,2023-05-03 14:17:28,2023-05-04 21:17:28,ChatBot,Defeito,Resolvido,O produto chegou com defeito de fabricação.,2.0,0.0,2.0
TKT-000039,CLI-11830,ORD-076557,2025-01-23 20:21:34,2025-01-24 23:21:34,ChatBot,Onde está meu pedido?,Resolvido,"Fiz o pedido há 10 dias e ainda não chegou, o que está acontecendo?",3.0,3.0,2.0
TKT-000040,CLI-11830,ORD-071583,2024-05-09 18:19:48,2024-05-12 00:19:48,E-mail,Onde está meu pedido?,Resolvido,Comprei semana passada e nada até agora. Péssimo.,3.0,259.0,15.0
TKT-000041,CLI-10455,ORD-016729,2023-05-24 19:21:42,2023-05-28 16:21:42,WhatsApp,Defeito,Resolvido,Comprei e já veio com problema. Péssima qualidade.,4.0,12.0,15.0
