campanha_id,nome_campanha,canal,categoria_foco,data_inicio,data_fim,investimento_reais,impressoes,cliques,conversoes,atribuicao,status,roas,receita_gerada,cac
CAMP-0001,Black_Friday_Main_2023,Orgânico,Moda,2023-12-09,2024-01-02,81268.6,29703467,371911,20980,Linear,Pausada,1.93,156848.4,3.87
CAMP-0002,Liquidacao_Julho_2023,Instagram Ads,Geral,2023-12-21,2024-02-19,54015.24,9129711,485733,45400,First Click,Pausada,3.7,199856.39,1.19
CAMP-0003,Upsell_Platinum_2023_02,Google Ads,Lifestyle,2023-02-13,2025-12-31,101729.83,27791809,1388775,125365,Linear,Ativa,3.38,343846.83,0.81
CAMP-0004,Lancamento_Colecao_2024,Influenciador,Geral,2024-10-07,2024-10-19,92813.59,36686510,1925180,202746,Last Click,Pausada,9.72,902148.09,0.46
CAMP-0005,Upsell_Platinum_2024,Google Ads,Lifestyle,2024-04-22,2024-07-25,73173.89,9861232,452774,12666,Linear,Pausada,3.64,266352.96,5.78
CAMP-0006,Dia_Das_Maes_2023_04,Google Ads,Lifestyle,2023-04-27,2025-12-31,37991.28,6294284,119409,13579,Last Click,Ativa,3.21,121952.01,2.8
CAMP-0007,Influenciador_Inverno_2023_05,Marketplace,Acessórios,2023-05-05,2023-07-22,89692.25,19472082,746631,37196,First Click,Finalizada,3.04,272664.44,2.41
CAMP-0008,Push_Carrinho_2023,TikTok Ads,Moda,2023-03-21,2023-06-23,71649.8,14553904,567401,34886,First Click,Finalizada,7.1,508713.58,2.05
CAMP-0009,Natal_Presentes_2025_09,Orgânico,Moda,2025-09-25,2025-12-23,13563.95,2972198,93902,10791,First Click,Finalizada,4.89,66327.72,1.26
CAMP-0010,Performance_Sempre_Ligada_2025_05,Email Marketing,Moda,2025-05-27,2025-08-19,18510.14,5997349,216190,20678,Last Click,Pausada,3.4,62934.48,0.9
CAMP-0011,Feed_Carousel_2024,Instagram Ads,Moda,2024-05-08,2025-12-31,105385.55,40365176,502707,31901,First Click,Ativa,4.66,491096.66,3.3
CAMP-0012,Volta_as_Aulas_2025_03,Google Ads,Acessórios,2025-03-09,2025-06-01,115730.68,43659667,2063957,177263,Linear,Finalizada,4.0,462922.72,0.65
CAMP-0013,Branding_Awareness_2025_08,Influenciador,Acessórios,2025-08-04,2025-08-19,2719.9,699707,27007,291,First Click,Finalizada,3.82,10390.02,9.35
CAMP-0014,Fidelidade_Clientes_2023,TikTok Ads,Lifestyle,2023-09-08,2023-11-16,64800.22,20183507,1087566,79809,First Click,Pausada,6.75,437401.48,0.81
CAMP-0015,CAC_Reducao_2025,Instagram Ads,Moda,2025-07-12,2025-09-16,80869.07,31937853,418952,22744,First Click,Pausada,2.55,206216.13,3.56
CAMP-0016,Performance_Moda_2024,Google Ads,Geral,2024-03-14,2024-05-19,104963.42,10929123,546643,56936,First Click,Pausada,4.0,419853.68,1.84
CAMP-0017,Remarketing_30d_2023_07,Instagram Ads,Beleza,2023-07-16,2023-11-10,108312.66,14371343,116581,6172,Last Click,Finalizada,4.28,463578.18,17.55
CAMP-0018,UGC_Organico_2025,Orgânico,Geral,2025-12-16,2025-12-31,116251.38,30845872,1116440,103022,Linear,Pausada,2.91,338291.52,1.13
CAMP-0019,Parceria_Creator_2025,Google Ads,Moda,2025-02-28,2025-05-22,81090.46,12590530,179214,19342,First Click,Pausada,3.04,246515.0,4.19
CAMP-0020,Feed_Carousel_2025,Marketplace,Geral,2025-09-11,2025-10-14,28794.58,5950442,255439,10983,First Click,Finalizada,4.74,136486.31,2.62
CAMP-0021,Lancamento_Colecao_2025,Marketplace,Geral,2025-02-03,2025-04-15,16068.3,3080017,35657,1314,Linear,Finalizada,4.33,69575.74,12.23
CAMP-0022,Stories_Boost_2025_09,Influenciador,Geral,2025-09-01,2025-11-17,111824.37,12652668,678975,26541,Last Click,Finalizada,8.52,952743.63,4.21
CAMP-0023,Lookalike_Gold_2023_12,Influenciador,Geral,2023-12-11,2024-03-08,60748.01,9741478,537966,8385,First Click,Finalizada,4.51,273973.53,7.24
CAMP-0024,Branding_Awareness_2025,Influenciador,Beleza,2025-05-06,2025-07-22,67396.64,7804506,445970,38358,Linear,Finalizada,12.6,849197.66,1.76
CAMP-0025,LTV_Expansion_2024_03,Email Marketing,Beleza,2024-03-02,2024-06-18,107891.17,15884222,333180,7099,Linear,Pausada,4.5,485510.27,15.2
CAMP-0026,CAC_Reducao_2023_03,Orgânico,Beleza,2023-03-26,2023-07-23,3169.41,1000584,25288,2842,First Click,Finalizada,3.94,12487.48,1.12
CAMP-0027,Cyber_Monday_2025_02,Influenciador,Beleza,2025-02-13,2025-06-09,26847.56,9163279,292636,12750,Linear,Finalizada,3.73,100141.4,2.11
CAMP-0028,Dia_Das_Maes_2024_05,Google Ads,Acessórios,2024-05-28,2025-12-31,92844.53,17860201,615982,52202,First Click,Ativa,3.94,365807.45,1.78
CAMP-0029,Volta_as_Aulas_2025_05,Influenciador,Beleza,2025-05-02,2025-12-31,52260.74,16364636,397844,30507,First Click,Ativa,13.54,707610.42,1.71
CAMP-0030,CAC_Reducao_2025,Influenciador,Moda,2025-07-01,2025-10-19,43833.73,4488206,190929,8844,Last Click,Pausada,2.31,101255.92,4.96
CAMP-0031,UGC_Organico_2025,Email Marketing,Lifestyle,2025-07-11,2025-08-24,23182.44,6787294,188113,17361,Linear,Pausada,2.2,51001.37,1.34
CAMP-0032,Remarketing_30d_2024_05,TikTok Ads,Moda,2024-05-07,2024-07-27,55905.59,12382592,236661,14684,Linear,Finalizada,6.28,351087.11,3.81
CAMP-0033,Fidelidade_Clientes_2025,Instagram Ads,Lifestyle,2025-11-21,2025-12-09,80800.92,12272448,225257,2857,First Click,Pausada,5.06,408852.66,28.28
CAMP-0034,LTV_Expansion_2025_10,Marketplace,Acessórios,2025-10-07,2025-12-02,48078.41,6116671,267643,28956,Last Click,Finalizada,1.43,68752.13,1.66
CAMP-0035,Push_Carrinho_2025_09,Google Ads,Beleza,2025-09-15,2025-12-31,30053.95,10562990,335227,32904,Last Click,Ativa,3.6,108194.22,0.91
CAMP-0036,Fidelidade_Clientes_2024_09,Email Marketing,Geral,2024-09-15,2024-12-26,54118.36,17348645,896454,36310,Last Click,Finalizada,3.51,189955.44,1.49
CAMP-0037,Liquidacao_Julho_2025,Marketplace,Moda,2025-05-08,2025-06-24,16777.21,2583751,113905,9990,Last Click,Pausada,2.32,38923.13,1.68
CAMP-0038,Feed_Carousel_2023,Marketplace,Moda,2023-07-13,2023-10-02,102836.5,33420861,928425,9886,Last Click,Pausada,2.56,263261.44,10.4
CAMP-0039,Lancamento_Colecao_2025,Email Marketing,Geral,2025-04-16,2025-06-17,3677.17,689695,29874,1627,Linear,Finalizada,4.68,17209.16,2.26
CAMP-0040,Dia_Das_Maes_2024,Email Marketing,Moda,2024-10-19,2024-11-05,16456.8,3747929,39783,2056,Last Click,Finalizada,2.35,38673.48,8.0
CAMP-0041,Performance_Moda_2024_02,Influenciador,Acessórios,2024-02-16,2025-12-31,64822.4,25927048,679235,55368,First Click,Ativa,1.08,70008.19,1.17
CAMP-0042,Parceria_Creator_2023,Google Ads,Beleza,2023-10-05,2023-12-11,67763.56,10147501,450266,42486,Linear,Pausada,3.96,268343.7,1.59
CAMP-0043,Retargeting_Carrinho_2024_02,Instagram Ads,Beleza,2024-02-19,2025-12-31,37572.48,11149675,644729,34578,Linear,Ativa,4.96,186359.5,1.09
CAMP-0044,Retargeting_Carrinho_2025_05,Google Ads,Moda,2025-05-28,2025-09-15,95588.02,24957880,252962,17353,Last Click,Pausada,3.51,335513.95,5.51
CAMP-0045,Remarketing_30d_2024,Instagram Ads,Acessórios,2024-02-14,2024-05-12,84935.58,18631119,859963,99929,Last Click,Finalizada,6.6,560574.83,0.85
CAMP-0046,Dia_Das_Maes_2025_10,Marketplace,Acessórios,2025-10-09,2025-11-16,33615.6,7538521,354497,25766,Last Click,Pausada,1.11,37313.32,1.3
CAMP-0047,Push_Carrinho_2023,Google Ads,Acessórios,2023-06-26,2023-08-07,66783.77,16383442,293835,10739,Linear,Finalizada,3.76,251106.98,6.22
CAMP-0048,Stories_Boost_2024,Marketplace,Acessórios,2024-01-03,2024-03-01,36883.48,9814612,320050,21891,Last Click,Pausada,3.2,118027.14,1.68
CAMP-0049,Stories_Boost_2024,Orgânico,Acessórios,2024-05-09,2024-08-16,38002.64,12074272,693614,59593,Linear,Pausada,2.94,111727.76,0.64
